Date,Temp (c),Sales ($)
26-Sep-21,16.9,292.3
27-Sep-21,16.9,396.2
28-Sep-21,10.8,204.9
29-Sep-21,7.3,71.5
30-Sep-21,14.8,307.3
1-Oct-21,10.3,121.2
2-Oct-21,8.4,88.7
3-Oct-21,11.5,210.4
4-Oct-21,5.2,0
5-Oct-21,12.4,181.9
6-Oct-21,9.9,150.4
7-Oct-21,3.3,0
8-Oct-21,1.4,0
9-Oct-21,5.1,0
10-Oct-21,5.3,0
11-Oct-21,-1.8,0
12-Oct-21,-1.2,0
13-Oct-21,-2.1,0
14-Oct-21,0.4,0
15-Oct-21,3.5,0
16-Oct-21,11.3,204.1
17-Oct-21,15.1,364.8
18-Oct-21,3,0
19-Oct-21,4.3,0
20-Oct-21,2.5,0
21-Oct-21,8.5,81.2
22-Oct-21,5.7,11.2
23-Oct-21,5.6,9.1
24-Oct-21,3.7,0
25-Oct-21,6.7,39.3
26-Oct-21,4.2,0
27-Oct-21,4.2,0
28-Oct-21,3.8,0
29-Oct-21,0.5,0
30-Oct-21,-4.3,0
31-Oct-21,-8.5,0
1-Nov-21,-9.9,0
2-Nov-21,0.1,0
3-Nov-21,2.8,0
4-Nov-21,6.5,31.4
5-Nov-21,7.2,68
6-Nov-21,0.5,0
7-Nov-21,1,0
8-Nov-21,0.8,0
9-Nov-21,0.9,0
10-Nov-21,-0.2,0
11-Nov-21,-3.1,0
12-Nov-21,1.5,0
13-Nov-21,2.2,0
14-Nov-21,1.5,0
15-Nov-21,2.2,0
16-Nov-21,-2,0
17-Nov-21,-7,0
18-Nov-21,-2.1,0
19-Nov-21,-3.6,0
20-Nov-21,-3.6,0
21-Nov-21,-3.1,0
22-Nov-21,5.2,0
23-Nov-21,-2.3,0
24-Nov-21,-5.2,0
25-Nov-21,3,0
26-Nov-21,4.9,0
27-Nov-21,-1.5,0
28-Nov-21,4,0
29-Nov-21,3.9,0
30-Nov-21,5.9,17.3
1-Dec-21,5.3,0
2-Dec-21,-1,0
3-Dec-21,-5,0
4-Dec-21,-7.1,0
5-Dec-21,-13.1,0
6-Dec-21,-14,0
7-Dec-21,-9,0
8-Dec-21,-1.6,0
9-Dec-21,-8.4,0
10-Dec-21,-8.3,0
11-Dec-21,-0.3,0
12-Dec-21,-6.4,0
13-Dec-21,-9.8,0
14-Dec-21,-15.4,0
15-Dec-21,-20.9,0
16-Dec-21,-18.2,0
17-Dec-21,-22.8,0
18-Dec-21,-7.9,0
19-Dec-21,-12.3,0
20-Dec-21,-20.2,0
21-Dec-21,-10.7,0
22-Dec-21,-5.2,0
23-Dec-21,-9.1,0
24-Dec-21,-21.1,0
25-Dec-21,-26.2,0
26-Dec-21,-29.4,0
27-Dec-21,-33.7,0
28-Dec-21,-23.6,0
29-Dec-21,-27.1,0
30-Dec-21,-19.7,0
31-Dec-21,-26.9,0
1-Jan-22,-18.1,0
2-Jan-22,-3.7,0
3-Jan-22,-19.9,0
4-Jan-22,-25.9,0
5-Jan-22,-27.7,0
6-Jan-22,-28.3,0
7-Jan-22,-23.4,0
8-Jan-22,-22.6,0
9-Jan-22,-14,0
10-Jan-22,0.8,0
11-Jan-22,2.9,0
12-Jan-22,2.7,0
13-Jan-22,0.1,0
14-Jan-22,-0.1,0
15-Jan-22,1.3,0
16-Jan-22,-2.7,0
17-Jan-22,2.3,0
18-Jan-22,-16.6,0
19-Jan-22,-21.4,0
20-Jan-22,-0.8,0
21-Jan-22,-1.1,0
22-Jan-22,2.4,0
23-Jan-22,5.1,0
24-Jan-22,-1.5,0
25-Jan-22,-1.7,0
26-Jan-22,-2.5,0
27-Jan-22,-4.9,0
28-Jan-22,-0.4,0
29-Jan-22,0.3,0
30-Jan-22,2.2,0
31-Jan-22,-6,0
1-Feb-22,-18.7,0
2-Feb-22,-23.9,0
3-Feb-22,-15.5,0
4-Feb-22,-5.6,0
5-Feb-22,1.7,0
6-Feb-22,3.8,0
7-Feb-22,5.7,12.4
8-Feb-22,2.6,0
9-Feb-22,6,17.9
10-Feb-22,8.5,111.6
11-Feb-22,-1,0
12-Feb-22,-0.3,0
13-Feb-22,3.5,0
14-Feb-22,-2.7,0
15-Feb-22,-2.7,0
16-Feb-22,-8.7,0
17-Feb-22,-0.7,0
18-Feb-22,-6.4,0
19-Feb-22,3.1,0
20-Feb-22,-15.2,0
21-Feb-22,-21.6,0
22-Feb-22,-26.1,0
23-Feb-22,-21.8,0
24-Feb-22,-8.1,0
25-Feb-22,-10,0
26-Feb-22,-3.3,0
27-Feb-22,2.8,0
28-Feb-22,-0.8,0
1-Mar-22,-0.4,0
2-Mar-22,-5.8,0
3-Mar-22,-7.1,0
4-Mar-22,-7.3,0
5-Mar-22,-6.8,0
6-Mar-22,-5.5,0
7-Mar-22,-1.6,0
8-Mar-22,-10,0
9-Mar-22,-14.1,0
10-Mar-22,-10.1,0
11-Mar-22,-9.4,0
12-Mar-22,1.7,0
13-Mar-22,-0.5,0
14-Mar-22,2.6,0
15-Mar-22,4.6,0
16-Mar-22,2.8,0
17-Mar-22,2.2,0
18-Mar-22,3.2,0
19-Mar-22,3.1,0
20-Mar-22,0.9,0
21-Mar-22,1.4,0
22-Mar-22,5.5,5.2
23-Mar-22,7.7,78.4
24-Mar-22,0.4,0
25-Mar-22,0.3,0
26-Mar-22,-0.4,0
27-Mar-22,4.3,0
28-Mar-22,0.6,0
29-Mar-22,1.3,0
30-Mar-22,5.3,0
31-Mar-22,2.9,0
1-Apr-22,1.8,0
2-Apr-22,1.7,0
3-Apr-22,0.6,0
4-Apr-22,6.3,37.2
5-Apr-22,4.7,0
6-Apr-22,1,0
7-Apr-22,5.2,0
8-Apr-22,12,214.3
9-Apr-22,1.9,0
10-Apr-22,-1.8,0
11-Apr-22,-5.6,0
12-Apr-22,-9.5,0
13-Apr-22,-9.4,0
14-Apr-22,-8.9,0
15-Apr-22,-6.9,0
16-Apr-22,-4.5,0
17-Apr-22,-1.9,0
18-Apr-22,1.6,0
19-Apr-22,1.1,0
20-Apr-22,-0.4,0
